post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"s1216585c30dfdf8f9","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdf947","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdf993","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdf9e0","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfa2c","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfa7a","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfac7","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfb13","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfb5f","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfbaa","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfc06","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfc60","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfcaf","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfcfe","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfd4c","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfd99","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfde7","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfe34","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfe87","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdfed6","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdff24","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdff81","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdffcf","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe002c","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe007a","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe00e3","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0162","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe01ba","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe020b","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe025c","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe02ae","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe02fd","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe034d","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe039d","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe03ef","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0452","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe04a5","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe04f7","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0547","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
