post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"r1216585c2fcb6ce3a","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6cea2","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6cef5","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6cf44","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6cf92","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6cfe1","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d036","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d085","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d0d2","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d120","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d172","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d1c0","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d20e","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d25a","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d2ab","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d2f9","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d346","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d394","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d3e6","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d434","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d481","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d4cf","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d51d","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d56c","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d5bd","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d60c","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d65b","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d6a9","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d6f7","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d746","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d795","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d7e4","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d833","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d883","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d8d3","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d923","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d972","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
"r1216585c2fcb6d9c1","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R1216","","no","no","no"
