post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"r585c2f44ac408","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
"r585c2f44ac46d","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
"r585c2f44ac4d3","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
"r585c2f44ac51f","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
"r585c2f44ac56a","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
"r585c2f44ac5b3","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
"r585c2f44ac603","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
"r585c2f44ac64c","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
"r585c2f44ac695","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
"r585c2f44ac6e0","","publish","","","","Store Credit / Gift Certificate","25","no","","","","no","no","","","","","","1","","","","days","","R","","no","no","no"
